,Name,Country,Longitude,Latitude,Max Temp,Humidity,Cloudiness,Wind Speed,Date
0,Emerald,AU,148.1667,-23.5333,67.93,72.0,4.0,7.2,1630188472.0
1,Busselton,AU,115.3333,-33.65,54.09,84.0,48.0,13.0,1630188472.0
2,Tiarei,PF,-149.3333,-17.5333,80.62,81.0,24.0,11.59,1630188473.0
4,Thompson,CA,-97.8558,55.7435,69.73,46.0,100.0,5.88,1630188259.0
5,Bokoro,TD,17.0568,12.3807,81.81,68.0,41.0,7.52,1630188473.0
6,Saint-Philippe,RE,55.7679,-21.3585,69.39,93.0,100.0,16.44,1630188473.0
7,Balsas,BR,-46.0356,-7.5325,90.28,28.0,31.0,5.3,1630188474.0
8,Lebu,CL,-73.65,-37.6167,53.08,96.0,100.0,12.01,1630188474.0
9,Dunedin,NZ,170.5036,-45.8742,48.79,83.0,96.0,3.0,1630188474.0
10,Yellowknife,CA,-114.3525,62.456,66.94,53.0,19.0,9.82,1630188474.0
11,Jamestown,US,-79.2353,42.097,85.84,69.0,1.0,5.99,1630188419.0
12,Masallātah,LY,14.0,32.6167,76.84,62.0,0.0,6.87,1630188475.0
13,Bad Hersfeld,DE,9.7,50.8667,57.94,97.0,100.0,2.1,1630188475.0
14,Rikitea,PF,-134.9692,-23.1203,73.76,71.0,0.0,20.6,1630188475.0
15,George Town,MY,100.3354,5.4112,80.53,87.0,20.0,3.44,1630188476.0
16,Tyup,KG,78.3648,42.7276,52.97,81.0,92.0,1.03,1630188476.0
17,Fairbanks,US,-147.7164,64.8378,48.16,76.0,90.0,0.0,1630188302.0
18,Airai,TL,125.4092,-8.9266,56.05,76.0,13.0,3.4,1630188476.0
19,Methóni,GR,21.7049,36.8197,73.26,73.0,0.0,13.09,1630188477.0
20,Hilo,US,-155.09,19.7297,84.27,65.0,40.0,10.36,1630188324.0
21,Lagoa,PT,-27.9833,39.05,71.13,86.0,4.0,15.55,1630188423.0
22,San Cristobal,VE,-72.225,7.7669,75.38,63.0,53.0,5.19,1630188201.0
24,Guerrero Negro,MX,-114.0611,27.9769,83.57,55.0,28.0,14.52,1630188212.0
25,Yining,CN,114.5636,29.0361,73.17,96.0,100.0,1.3,1630188477.0
26,Muros,ES,-9.0603,42.7762,68.5,92.0,63.0,2.64,1630188477.0
27,Fortuna,US,-124.1573,40.5982,66.33,70.0,1.0,13.8,1630188478.0
28,Jiménez,MX,-105.4,28.3333,92.14,23.0,34.0,8.97,1630188478.0
30,Saldanha,ZA,17.9442,-33.0117,47.57,68.0,14.0,4.32,1630188478.0
31,São Filipe,CV,-24.4956,14.8961,76.73,80.0,100.0,1.99,1630188479.0
32,Sitka,US,-135.33,57.0531,55.29,71.0,90.0,6.91,1630188479.0
33,Khatanga,RU,102.5,71.9667,34.5,98.0,100.0,12.21,1630188479.0
34,Rincon,US,-81.2354,32.296,88.86,79.0,75.0,12.66,1630188218.0
35,Esperance,AU,121.9,-33.8667,53.74,75.0,100.0,13.82,1630188480.0
36,Ushuaia,AR,-68.3,-54.8,42.46,65.0,20.0,6.91,1630188480.0
37,Hermanus,ZA,19.2345,-34.4187,45.9,68.0,67.0,5.28,1630188480.0
38,Mariinsk,RU,87.7472,56.2139,53.42,96.0,35.0,3.89,1630188480.0
39,Cape Town,ZA,18.4232,-33.9258,46.11,58.0,58.0,4.83,1630188190.0
40,Ketchikan,US,-131.6461,55.3422,61.27,72.0,75.0,6.91,1630188481.0
41,East London,ZA,27.9116,-33.0153,51.94,69.0,51.0,13.96,1630188481.0
42,Praia,CV,-23.5087,14.9215,77.54,83.0,20.0,4.61,1630188481.0
43,Tiksi,RU,128.8694,71.6872,35.71,98.0,100.0,19.26,1630188482.0
44,San Patricio,US,-97.5169,28.017,93.61,51.0,81.0,13.24,1630188482.0
45,Punta Arenas,CL,-70.9167,-53.15,39.31,81.0,75.0,12.66,1630188236.0
46,Sur,OM,59.5289,22.5667,82.04,68.0,4.0,9.98,1630188482.0
47,Lompoc,US,-120.4579,34.6391,98.74,65.0,1.0,14.97,1630188483.0
49,Jiuquan,CN,98.5174,39.7432,60.94,33.0,97.0,4.43,1630188483.0
50,Butaritari,KI,172.7902,3.0707,82.67,74.0,34.0,10.51,1630188483.0
52,Swellendam,ZA,20.4417,-34.0226,43.18,77.0,52.0,4.29,1630188483.0
53,Qaanaaq,GL,-69.3632,77.484,36.07,98.0,100.0,5.41,1630188484.0
54,Port Elizabeth,ZA,25.5701,-33.918,48.09,72.0,53.0,7.11,1630188484.0
55,Asău,RO,26.4,46.4333,58.95,94.0,100.0,0.94,1630188484.0
56,Kabompo,ZM,24.2008,-13.5927,70.77,22.0,73.0,5.59,1630188485.0
57,Tasiilaq,GL,-37.6368,65.6145,46.56,99.0,100.0,4.7,1630188485.0
58,Khandyga,RU,135.6,62.6667,43.25,78.0,35.0,1.16,1630188485.0
59,São João da Barra,BR,-41.0511,-21.6403,71.69,86.0,17.0,8.77,1630188485.0
60,Vidim,RU,103.1106,56.4088,50.88,73.0,35.0,2.77,1630188486.0
61,Forio,IT,13.8646,40.7342,73.69,81.0,0.0,1.25,1630188486.0
62,Mar del Plata,AR,-57.5575,-38.0023,54.91,73.0,53.0,8.57,1630188486.0
63,Vaini,TO,-175.2,-21.2,73.56,73.0,75.0,10.36,1630188487.0
64,Port Hedland,AU,118.5667,-20.3167,62.65,88.0,90.0,0.0,1630188487.0
65,San Quintín,MX,-115.95,30.4833,76.48,70.0,16.0,12.39,1630188487.0
66,Cidreira,BR,-50.2056,-30.1811,60.64,77.0,0.0,18.92,1630188487.0
67,Pangkalanbuun,ID,111.6167,-2.6833,73.53,99.0,81.0,2.44,1630188488.0
68,Fort Nelson,CA,-122.7002,58.8053,65.34,62.0,100.0,3.44,1630188197.0
69,Djibouti,DJ,42.5,11.5,94.42,41.0,95.0,3.56,1630188488.0
70,Águas Belas,BR,-37.1231,-9.1114,71.31,70.0,80.0,11.21,1630188488.0
71,Katsuura,JP,140.3,35.1333,82.51,87.0,8.0,12.19,1630188489.0
72,Bam,IR,58.357,29.106,78.48,18.0,0.0,10.31,1630188489.0
73,Sawākin,SD,37.3321,19.1059,90.23,60.0,18.0,2.66,1630188489.0
74,Adrar,MR,-10.0711,20.5022,97.81,21.0,15.0,3.96,1630188489.0
75,Hilton Head,US,-80.7526,32.2163,87.85,73.0,40.0,0.0,1630188276.0
76,Nikolskoye,RU,30.7861,59.7035,58.89,88.0,46.0,5.03,1630188490.0
80,Chapais,CA,-74.8492,49.7834,58.6,57.0,100.0,3.85,1630188490.0
81,Salinópolis,BR,-47.3561,-0.6136,80.69,82.0,12.0,15.41,1630188491.0
82,Yar-Sale,RU,70.8333,66.8333,44.62,86.0,100.0,16.53,1630188491.0
83,Mahébourg,MU,57.7,-20.4081,71.26,92.0,100.0,17.27,1630188491.0
84,Shrewsbury,GB,-2.7521,52.7101,60.08,90.0,57.0,4.07,1630188208.0
85,Ilulissat,GL,-51.1,69.2167,39.22,75.0,66.0,5.75,1630188491.0
86,Geraldton,AU,114.6,-28.7667,46.81,93.0,98.0,8.05,1630188492.0
87,Donji Vakuf,BA,17.4,44.1436,52.47,99.0,100.0,3.51,1630188492.0
88,Bluff,NZ,168.3333,-46.6,45.81,71.0,99.0,6.55,1630188492.0
89,Bariloche,AR,-71.3082,-41.1456,38.77,99.0,100.0,5.08,1630188493.0
90,Sambava,MG,50.1667,-14.2667,65.59,87.0,9.0,6.42,1630188493.0
91,Tuatapere,NZ,167.6833,-46.1333,45.82,82.0,100.0,3.78,1630188493.0
92,Uvira,CD,29.1458,-3.4067,76.89,58.0,91.0,2.33,1630188493.0
93,Gwadar,PK,62.3254,25.1216,78.75,79.0,89.0,5.79,1630188494.0
94,Cherskiy,RU,161.3,68.75,40.51,58.0,100.0,7.25,1630188494.0
95,Te Anau,NZ,167.7167,-45.4167,44.8,96.0,100.0,2.24,1630188435.0
96,Kismayo,SO,42.5454,-0.3582,75.69,79.0,23.0,16.26,1630188494.0
97,Skellefteå,SE,20.9528,64.7507,45.0,69.0,2.0,4.61,1630188495.0
98,Hobart,AU,147.3294,-42.8794,46.11,94.0,75.0,4.0,1630188495.0
99,Narāyangarh,IN,77.1333,30.4833,74.5,91.0,0.0,4.68,1630188495.0
100,Itarema,BR,-39.9167,-2.9248,78.39,76.0,63.0,16.28,1630188495.0
101,Acapulco de Juárez,MX,-99.8901,16.8634,78.62,89.0,90.0,6.91,1630188342.0
103,Ponta do Sol,PT,-17.1,32.6667,74.03,69.0,5.0,5.28,1630188496.0
104,Pachino,IT,15.0907,36.7186,77.04,66.0,0.0,11.9,1630188496.0
105,Albany,US,-73.9662,42.6001,72.81,66.0,68.0,8.86,1630188496.0
106,Severo-Kuril'sk,RU,156.125,50.6789,54.46,96.0,100.0,6.8,1630188497.0
107,Luleå,SE,22.1547,65.5842,48.27,93.0,0.0,2.3,1630188497.0
109,Port Alfred,ZA,26.891,-33.5906,49.78,76.0,59.0,10.45,1630188497.0
111,Guarapari,BR,-40.4975,-20.6667,75.09,87.0,31.0,6.82,1630188498.0
112,Talnakh,RU,88.3972,69.4865,38.21,94.0,100.0,7.74,1630188498.0
113,Chokurdakh,RU,147.9167,70.6333,35.65,96.0,100.0,6.98,1630188498.0
114,Kapaa,US,-159.319,22.0752,84.52,67.0,20.0,3.0,1630188499.0
116,Srednekolymsk,RU,153.6833,67.45,41.14,54.0,96.0,6.8,1630188499.0
117,Ivanava,BY,25.5365,52.1451,51.57,96.0,72.0,6.11,1630188499.0
118,Vila Franca do Campo,PT,-25.4333,37.7167,73.81,86.0,42.0,12.86,1630188500.0
119,Necochea,AR,-58.7368,-38.5473,54.03,61.0,95.0,7.76,1630188500.0
120,Mangai,CD,19.5333,-4.05,78.08,62.0,88.0,1.7,1630188500.0
121,Carnarvon,AU,113.6333,-24.8667,53.67,50.0,62.0,8.05,1630188501.0
122,Cacheu,GW,-16.1658,12.2706,78.19,83.0,100.0,4.32,1630188501.0
123,Tuktoyaktuk,CA,-133.0374,69.4541,49.23,76.0,78.0,2.82,1630188501.0
124,Ferrol,ES,-8.2369,43.4832,68.25,89.0,100.0,8.97,1630188501.0
125,Alekseyevka,RU,38.6903,50.6309,72.25,52.0,42.0,3.74,1630188502.0
126,Jiaojiang,CN,121.4428,28.6803,76.71,94.0,11.0,3.49,1630188502.0
127,Port Macquarie,AU,152.9167,-31.4333,48.16,53.0,0.0,4.59,1630188502.0
128,Puerto Ayora,EC,-90.3518,-0.7393,73.36,88.0,97.0,5.99,1630188503.0
129,Pangnirtung,CA,-65.7125,66.1451,42.73,67.0,51.0,3.06,1630188503.0
130,Americus,US,-84.2327,32.0724,83.34,89.0,91.0,0.0,1630188504.0
131,New Norfolk,AU,147.0587,-42.7826,45.75,85.0,100.0,2.44,1630188504.0
133,Kalangala,UG,32.225,-0.3089,69.15,65.0,9.0,1.14,1630188505.0
134,Alofi,NU,-169.9187,-19.0595,73.47,57.0,86.0,17.07,1630188506.0
135,Mount Gambier,AU,140.7667,-37.8333,44.47,97.0,95.0,4.9,1630188506.0
136,Obihiro,JP,143.2044,42.9172,67.57,79.0,41.0,2.89,1630188506.0
137,Laguna,US,-121.4238,38.421,105.21,20.0,90.0,1.99,1630188297.0
138,Leeton,AU,146.4,-34.5667,53.51,78.0,100.0,13.4,1630188507.0
139,Ulagan,RU,87.9563,50.6321,44.98,82.0,20.0,1.05,1630188507.0
140,Mataura,NZ,168.8643,-46.1927,45.48,89.0,100.0,1.83,1630188507.0
141,Yulara,AU,130.9889,-25.2406,42.64,39.0,0.0,5.75,1630188508.0
142,Manassas,US,-77.4753,38.751,90.01,68.0,1.0,10.36,1630188289.0
143,Belturbet,IE,-7.45,54.1,58.62,97.0,75.0,3.51,1630188508.0
144,Solenzo,BF,-4.0833,12.1833,73.08,93.0,100.0,6.69,1630188509.0
145,Lahaina,US,-156.6825,20.8783,86.0,65.0,2.0,6.02,1630188509.0
146,Pisco,PE,-76.2167,-13.7,64.45,72.0,0.0,6.91,1630188509.0
147,Coihueco,CL,-71.8333,-36.6167,61.54,67.0,75.0,6.91,1630188259.0
148,Patnāgarh,IN,83.15,20.7167,77.07,90.0,100.0,1.52,1630188497.0
149,Provideniya,RU,-173.3,64.3833,48.97,96.0,100.0,1.48,1630188510.0
150,Pevek,RU,170.3133,69.7008,32.97,76.0,59.0,8.25,1630188510.0
151,Atuona,PF,-139.0333,-9.8,77.76,79.0,27.0,24.65,1630188510.0
152,Hithadhoo,MV,73.0833,-0.6,82.02,73.0,26.0,12.66,1630188511.0
153,São Paulo de Olivença,BR,-68.8725,-3.3783,83.89,67.0,75.0,1.74,1630188511.0
154,Oriximiná,BR,-55.8661,-1.7656,75.76,90.0,50.0,4.79,1630188511.0
155,Constantine,DZ,6.6147,36.365,77.72,45.0,80.0,3.0,1630188512.0
156,Vao,NC,167.4833,-22.6667,70.3,77.0,5.0,2.1,1630188512.0
157,Oddur,SO,43.8894,4.1213,70.72,63.0,11.0,18.5,1630188512.0
158,Stanislav,UA,32.1478,46.5691,74.5,64.0,80.0,7.45,1630188513.0
159,Haines Junction,CA,-137.5108,60.7522,43.81,96.0,100.0,4.45,1630188513.0
160,Daro,GN,-9.569,8.5185,68.88,99.0,99.0,1.54,1630188513.0
161,Saint Paul Harbor,US,-152.4072,57.79,62.11,29.0,1.0,20.71,1630188513.0
162,Saskylakh,RU,114.0833,71.9167,35.46,98.0,100.0,11.18,1630188514.0
163,Kwang Binh,VN,106.6,17.4833,77.4,87.0,55.0,3.09,1630188514.0
164,Bambous Virieux,MU,57.7575,-20.3428,71.22,92.0,100.0,15.88,1630188514.0
165,Nushki,PK,66.0215,29.5542,81.46,27.0,17.0,5.08,1630188514.0
166,Alice Springs,AU,133.8833,-23.7,47.75,49.0,2.0,3.44,1630188515.0
167,Fayaoué,NC,166.5333,-20.65,73.44,73.0,0.0,8.23,1630188374.0
168,Arraial do Cabo,BR,-42.0278,-22.9661,70.45,85.0,57.0,6.04,1630188515.0
169,Sulangan,PH,123.7228,11.1373,82.06,74.0,76.0,5.99,1630188515.0
170,Torbay,CA,-52.7314,47.6666,55.58,91.0,100.0,1.99,1630188516.0
171,Half Moon Bay,US,-122.4286,37.4636,106.54,33.0,1.0,10.36,1630188516.0
173,Santa Cruz de la Sierra,BO,-63.1667,-17.8,72.86,68.0,75.0,2.3,1630188510.0
174,Dalvik,IS,-18.5286,65.9702,52.74,71.0,88.0,12.97,1630188516.0
175,Kalaīkunda,IN,87.25,22.35,79.02,94.0,96.0,5.64,1630188517.0
176,Tahoua,NE,5.2692,14.8888,84.16,54.0,86.0,17.72,1630188517.0
178,Progreso,MX,-89.6667,21.2833,93.31,66.0,23.0,11.18,1630188517.0
180,Shelburne,CA,-80.2041,44.0787,85.75,43.0,90.0,6.38,1630188518.0
181,Tiznit Province,MA,-9.5,29.5833,74.91,37.0,0.0,3.58,1630188518.0
183,Dikson,RU,80.5464,73.5069,39.09,78.0,100.0,21.72,1630188518.0
184,Xining,CN,101.7667,36.6167,48.43,85.0,12.0,2.59,1630188519.0
185,Lerwick,GB,-1.1494,60.1545,53.6,86.0,28.0,4.25,1630188519.0
186,Mossamedes,AO,12.1522,-15.1961,64.29,89.0,12.0,2.39,1630188519.0
187,Cam Ranh,VN,109.1591,11.9214,76.96,83.0,40.0,3.44,1630188520.0
188,Beyneu,KZ,55.2,45.3167,78.82,44.0,7.0,8.19,1630188520.0
189,Umm Kaddadah,SD,26.6876,13.6017,91.29,33.0,55.0,9.46,1630188521.0
190,Puerto del Rosario,ES,-13.8627,28.5004,73.15,88.0,0.0,12.66,1630188521.0
191,Bengkulu,ID,102.2655,-3.8004,74.48,88.0,100.0,3.87,1630188521.0
192,Pemba,MZ,40.5178,-12.974,74.64,73.0,0.0,8.41,1630188522.0
193,Mahanoro,MG,48.8,-19.9,66.78,93.0,88.0,8.52,1630188522.0
194,Jhajjar,IN,76.6565,28.6063,80.71,79.0,89.0,7.43,1630188522.0
195,Krasnyy Yar,RU,48.3456,46.5331,75.13,40.0,0.0,8.61,1630188522.0
196,Northam,GB,-4.2167,51.0333,59.67,93.0,4.0,2.59,1630188523.0
197,Basco,PH,121.9702,20.4487,84.58,76.0,12.0,15.68,1630188523.0
198,Ilirska Bistrica,SI,14.2408,45.5697,60.69,92.0,12.0,4.74,1630188523.0
199,Buin,CL,-70.75,-33.7333,71.92,61.0,100.0,2.15,1630188523.0
200,Chui,UY,-53.4616,-33.6971,54.01,80.0,100.0,8.5,1630188524.0
201,Payo,ID,103.6372,-3.7508,72.32,97.0,99.0,3.06,1630188524.0
204,Isangel,VU,169.2667,-19.55,76.08,64.0,6.0,7.67,1630188525.0
205,Port Lincoln,AU,135.8667,-34.7333,52.3,71.0,60.0,10.83,1630188525.0
206,Hofn,IS,-15.2082,64.2539,54.52,71.0,100.0,9.13,1630188525.0
207,Mezhdurechensk,RU,88.0603,53.6942,53.83,93.0,71.0,3.2,1630188526.0
208,Amalāpuram,IN,82.0167,16.5833,77.99,85.0,100.0,5.82,1630188526.0
209,Korla,CN,86.1469,41.7597,72.81,33.0,70.0,6.76,1630188526.0
210,Mosquera,CO,-74.2302,4.7059,64.49,52.0,40.0,9.22,1630188377.0
211,Kieta,PG,155.6333,-6.2167,82.74,74.0,89.0,3.96,1630188527.0
212,Souillac,MU,57.5167,-20.5167,71.37,93.0,100.0,15.73,1630188527.0
213,Castro,BR,-50.0119,-24.7911,55.27,98.0,100.0,9.8,1630188527.0
214,Belmonte,BR,-38.8828,-15.8631,73.9,85.0,6.0,7.38,1630188528.0
215,Grand Gaube,MU,57.6608,-20.0064,71.38,87.0,100.0,11.01,1630188528.0
216,Bethel,US,-73.414,41.3712,71.96,78.0,90.0,5.75,1630188529.0
219,Lavrentiya,RU,-171.0,65.5833,42.89,89.0,100.0,8.28,1630188530.0
220,Bredasdorp,ZA,20.0403,-34.5322,37.27,76.0,75.0,4.56,1630188530.0
221,Urucará,BR,-57.76,-2.5364,79.54,75.0,61.0,3.11,1630188531.0
222,Helsinki,FI,24.9355,60.1695,60.04,81.0,0.0,5.99,1630188531.0
223,Altoona,US,-78.3947,40.5187,79.81,85.0,60.0,3.11,1630188532.0
224,Vanimo,PG,141.3028,-2.6741,78.85,87.0,66.0,6.49,1630188532.0
225,Araouane,ML,-3.5265,18.9048,101.01,20.0,1.0,5.17,1630188532.0
226,Avarua,CK,-159.775,-21.2078,73.45,56.0,40.0,8.05,1630188533.0
227,São Geraldo do Araguaia,BR,-48.555,-6.4006,89.28,35.0,79.0,3.74,1630188533.0
228,Ribeira Grande,PT,-28.7,38.5167,72.73,87.0,13.0,15.01,1630188533.0
229,Belaya Gora,RU,146.4167,68.5333,43.47,83.0,100.0,4.29,1630188534.0
230,Phan Thiet,VN,108.1,10.9333,75.38,89.0,93.0,3.69,1630188534.0
231,Puerto Carreño,CO,-67.4859,6.189,75.63,93.0,100.0,4.85,1630188534.0
232,La Providencia,MX,-111.5833,28.7167,99.05,41.0,77.0,1.99,1630188535.0
233,Altus,US,-99.334,34.6381,93.76,38.0,40.0,1.99,1630188535.0
234,Hong Kong,HK,114.1577,22.2855,84.18,79.0,96.0,14.09,1630188536.0
235,Vangaindrano,MG,47.6,-23.35,63.9,94.0,47.0,3.47,1630188536.0
236,Zhicheng,CN,111.5047,30.2956,71.51,97.0,89.0,1.45,1630188536.0
238,Itacarambi,BR,-44.0919,-15.1022,78.57,44.0,57.0,8.39,1630188537.0
239,Coyhaique,CL,-72.0662,-45.5752,46.35,71.0,75.0,3.44,1630188537.0
240,Balikpapan,ID,116.8289,-1.2675,72.46,97.0,100.0,3.78,1630188538.0
241,Mogadishu,SO,45.3438,2.0371,76.3,79.0,6.0,19.84,1630188371.0
242,Port Blair,IN,92.75,11.6667,79.25,85.0,100.0,9.62,1630188538.0
243,Hasaki,JP,140.8333,35.7333,81.0,82.0,0.0,12.53,1630188539.0
244,Palmas,BR,-48.3603,-10.2128,89.47,37.0,0.0,2.3,1630188501.0
245,Okha,RU,142.9478,53.5739,55.65,97.0,100.0,6.51,1630188539.0
246,Sioux Lookout,CA,-91.917,50.1001,68.07,88.0,75.0,3.44,1630188258.0
247,Saint-Pierre,RE,55.4781,-21.3393,69.48,90.0,90.0,4.61,1630188539.0
248,Karatau,KZ,70.4667,43.1667,73.81,26.0,17.0,7.2,1630188540.0
249,Barrow,US,-156.7887,71.2906,32.02,74.0,90.0,14.97,1630188302.0
250,Port-de-Bouc,FR,4.9833,43.4,70.02,50.0,0.0,24.16,1630188540.0
251,Pudozh,RU,36.5345,61.8099,47.1,81.0,6.0,3.18,1630188540.0
253,Gillette,US,-105.5022,44.2911,64.24,53.0,40.0,7.0,1630188319.0
254,Coquimbo,CL,-71.3436,-29.9533,58.73,77.0,0.0,9.22,1630188541.0
255,Kruisfontein,ZA,24.7314,-34.0033,44.89,73.0,28.0,7.78,1630188541.0
256,Kisangani,CD,25.2,0.5167,71.17,92.0,57.0,2.71,1630188541.0
257,Semnan,IR,53.3971,35.5729,74.35,38.0,0.0,3.06,1630188542.0
258,Polyarny,RU,33.4478,69.1989,39.67,83.0,31.0,6.6,1630188542.0
259,Doka,SD,35.7667,13.5167,67.32,87.0,100.0,9.75,1630188542.0
260,Vestmanna,FO,-7.1664,62.1564,50.92,100.0,90.0,2.3,1630188543.0
261,Ancud,CL,-73.8203,-41.8697,51.33,96.0,100.0,12.86,1630188543.0
262,Panama City,PA,-79.5197,8.9936,85.17,85.0,40.0,3.44,1630188440.0
263,Kastamonu Province,TR,33.6667,41.5,71.62,67.0,1.0,5.12,1630188544.0
266,Clyde River,CA,-68.5914,70.4692,38.03,78.0,99.0,3.58,1630188544.0
267,Palmer,US,-72.3287,42.1584,70.5,68.0,90.0,6.91,1630188544.0
268,Smithers,CA,-127.1743,54.7804,61.57,73.0,94.0,4.25,1630188545.0
269,Uyskoye,RU,60.0047,54.3775,42.4,79.0,9.0,7.18,1630188545.0
270,Priargunsk,RU,119.1012,50.3691,47.89,85.0,7.0,4.29,1630188545.0
271,Tual,ID,132.75,-5.6667,80.37,82.0,58.0,16.64,1630188546.0
272,Laas,IT,10.7002,46.6166,53.02,95.0,83.0,6.4,1630188546.0
275,Iralaya,HN,-83.2333,15.0,82.98,78.0,100.0,11.48,1630188547.0
276,Winnemucca,US,-117.7357,40.973,87.85,8.0,1.0,3.44,1630188547.0
277,Ostrovnoy,RU,39.5131,68.0531,45.03,78.0,100.0,18.34,1630188547.0
278,Houma,US,-90.7195,29.5958,87.8,79.0,75.0,16.11,1630188548.0
279,Warrnambool,AU,142.4833,-38.3833,48.81,92.0,94.0,10.49,1630188548.0
280,Flinders,AU,150.8552,-34.5833,53.06,91.0,13.0,3.0,1630188548.0
281,Nauta,PE,-73.5757,-4.5061,82.33,70.0,97.0,2.17,1630188549.0
282,Codrington,AU,141.9667,-38.2667,45.81,95.0,88.0,9.8,1630188549.0
283,Boffa,GN,-14.0333,10.1667,76.84,90.0,100.0,2.19,1630188549.0
285,Tessalit,ML,1.0114,20.1986,93.54,25.0,71.0,9.4,1630188550.0
286,Ola,RU,151.2833,59.5833,55.72,88.0,100.0,1.28,1630188550.0
287,Saint Anthony,US,-93.218,45.0205,83.55,68.0,75.0,0.0,1630188550.0
288,Cape Coast,GH,-1.2466,5.1053,76.1,90.0,73.0,9.44,1630188551.0
289,Bud,US,-86.1758,39.447,91.38,56.0,16.0,2.35,1630188551.0
290,Aklavik,CA,-135.0107,68.2191,54.3,65.0,46.0,3.24,1630188551.0
291,Hollola,FI,25.4333,61.05,53.73,91.0,95.0,5.57,1630188552.0
293,Imbituba,BR,-48.6703,-28.24,64.29,78.0,93.0,5.21,1630188552.0
294,Namwala,ZM,26.4384,-15.7504,73.29,28.0,28.0,4.36,1630188553.0
295,Tarauacá,BR,-70.7656,-8.1614,85.33,59.0,91.0,0.83,1630188553.0
296,Jalu,LY,21.5482,29.0331,91.58,23.0,0.0,6.2,1630188553.0
297,Colomi,BO,-65.8667,-17.35,62.62,76.0,91.0,7.96,1630188554.0
298,Ahipara,NZ,173.1667,-35.1667,59.85,83.0,58.0,8.88,1630188554.0
299,Quilmaná,PE,-76.3833,-12.95,68.59,67.0,34.0,4.94,1630188555.0
300,Kamień Pomorski,PL,14.7726,53.9685,61.5,93.0,100.0,8.34,1630188555.0
301,Pingxiang,CN,113.85,27.6167,74.43,92.0,85.0,2.95,1630188555.0
302,Kaabong,UG,34.1492,3.4836,68.85,69.0,81.0,2.98,1630188555.0
303,Gashua,NG,11.0482,12.871,84.07,61.0,60.0,14.76,1630188556.0
304,Deputatsky,RU,139.9,69.3,37.6,82.0,100.0,4.9,1630188556.0
305,Beloha,MG,45.05,-25.1667,67.87,56.0,0.0,9.06,1630188556.0
308,Griffith,US,-87.4237,41.5284,91.33,64.0,1.0,3.0,1630188557.0
309,‘Āhuimanu,US,-157.8378,21.4447,89.31,57.0,20.0,12.66,1630188557.0
